inst_id,OC
2,0
5,0
6,1
8,1
10,1
12,0
13,1
20,1
21,1
23,1
24,1
28,0
29,1
30,1
31,1
32,1
40,1
41,1
43,0
46,1
48,1
54,1
64,0
66,0
68,1
76,1
78,1
79,0
80,1
85,1
86,1
88,1
90,0
102,0
103,1
111,1
114,1
117,1
121,1
122,1
123,1
124,1
126,1
130,0
131,1
133,0
142,1
146,1
151,0
157,1
158,1
161,1
165,1
167,1
172,1
174,1
181,1
184,1
185,1
186,1
188,1
193,1
198,1
199,0
201,1
206,1
207,1
210,0
212,1
213,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
228,1
229,0
239,1
241,0
243,1
246,1
254,1
258,0
260,1
282,1
292,1
293,1
294,0
299,1
301,0
307,1
310,1
326,1
330,1
334,1
336,1
337,1
341,1
343,1
348,1
368,1
370,1
374,1
377,1
380,0
382,1
387,1
388,1
389,1
394,1
395,1
396,1
397,1
398,1
401,1
403,1
404,1
410,1
413,1
421,1
424,0
425,1
429,1
430,1
431,1
